Accession_clean	logFC_col	P_col	adj_col	logFC_ufm1	P_ufm1	adj_ufm1	Col0_state	ufm1_state	Dep_Accumulation	Dep_Depletion	Col_0_DMSO_1_Area_Raw	Col_0_DMSO_2_Area_Raw	Col_0_DMSO_3_Area_Raw	Col_0_ANS_1_Area_Raw	Col_0_ANS_2_Area_Raw	ufm1_DMSO_1_Area_Raw	ufm1_DMSO_2_Area_Raw	ufm1_DMSO_3_Area_Raw	ufm1_ANS_1_Area_Raw	ufm1_ANS_2_Area_Raw
AT3G54460	-0.40976026834732515	8.472913415167133e-7	0.003951390284033997	-0.10816864179797037	0.0026592387717837445	0.15648496421576055	Down	Down	FALSE	FALSE	15.708740494001185	15.72066949525741	15.771257941772493	15.31186167371324	15.33572974361284	15.409523717278539	15.377923056376362	15.425257695588149	15.288222587196593	15.30390977536951
AT3G13360	2.0179401387622775	1.0182683375941236e-6	0.003951390284033997	0.029997375993772835	0.80550548218883955	1	Up	NS	FALSE	FALSE	23.1964582845669	23.437918008896276	23.554524657420735	25.440525904252098	25.387955007195067	23.119727380382773	23.074207657049122	23.33316197560864	23.180737671609087	23.230655089072172
AT5G61020	-0.7071301762309368	4.997454591324482e-6	0.012928415027756436	-0.39071354937432545	1.9741293474739234e-4	0.072958180313072	Down	Down	FALSE	FALSE	24.04058792600363	23.900254265206016	24.045393325827966	23.25488091062955	23.32168241493366	23.845452307057165	23.864613838319556	23.833645478975473	23.407014996429453	23.507365654390046
AT1G77710	2.089641620999732	1.0423377036672428e-5	0.020223957295403678	0	1	1	Up	NS	FALSE	FALSE	22.63413830091175	21.99867217033571	22.348056515719193	24.552246359045174	24.280948207598733	0	0	0	0	0
AT5G01270	-1.0670392616378237	1.3912238517170394e-5	0.021594576626351884	-0.32065476238688717	0.011951996920752843	0.25988341568136425	Down	Down	FALSE	FALSE	18.660717127432655	18.78663054813179	18.651485698902803	17.505983915639007	17.759159810730175	17.851477740514476	17.645261351917803	17.6900533888632	17.431853522660795	17.38469860676243
AT1G52980	-0.5612413304098354	6.175480706290618e-5	0.07987984293586914	-0.39900281645295976	4.733693311768623e-4	0.09751753186875603	Down	Down	FALSE	FALSE	25.240640099311392	25.362232979775495	25.374550129027806	24.69321601024319	24.835916801013617	25.341408234453688	25.3178582385722	25.290647908756483	24.855395167190657	24.979875454425027
AT2G18193	0.8760423020635884	7.850456596869707e-5	0.08125194280264215	0.6218783189972008	5.979109853253347e-4	0.10080012977973335	Up	Up	FALSE	FALSE	21.368507109897163	21.655096821630245	21.561362934938806	22.378282363855767	22.430446817915556	21.74116792357199	21.577417397037088	21.650535377319528	22.384795011753308	22.171708758193525
AT4G33050	0.9156893184463932	8.375409643359583e-5	0.08125194280264215	0.9613665604826842	6.21878487823491e-5	0.057631065003565116	Up	Up	FALSE	FALSE	19.836464919012954	19.870504320044848	20.048743797278007	20.88135781268911	20.787162848427563	20.213690719033796	20.14886706576394	19.981768047211368	21.199656309444435	20.95262736619368
AT1G06460	-0.6462578962974668	9.848757553553585e-5	0.08492911930347709	-0.3593563278441181	0.0027906933270980053	0.16163112620602701	Down	Down	FALSE	FALSE	23.120747257313358	23.23074643987161	23.264021487348334	22.62216158759021	22.495666076170394	23.346887018148948	23.34878414949497	23.212162874474746	23.03082896039714	22.855681078660414
AT5G52820	-0.6134781371107358	1.2195085382594573e-4	0.08812775223948316	-0.36654924352330553	0.0023034717847729555	0.14833771007945346	Down	Down	FALSE	FALSE	22.24925575572377	22.47995913144844	22.261886861037336	21.77033019081683	21.66344803376806	22.26984540490508	22.2113931677472	22.317992058831916	21.88889990370742	21.910822030235458
